(1)  features before the surgery, (2)  immediately before surgery, (2)  immediately after surgery,(3)  3-6 months post-surgery ,(4) outcomes we want to predict? ,,,,,,,,,,,,
"BMI>35, 0=no, 1=yes",,,Minor (I-II) = 0 or Major (III-V) = 1 Complication,,,,,,,,,,,,,
Previous procedure: 1 = DVIU and/or dilations,,,"Any complication (clavien grade >2) (0=no, 1=yes",,,,,,,,,,,,,
open procedure? 1 = prev open procedure/urethroplasty,,,"90daycomp 0=no, 1=yes",,,,,,,,,,,,,
"PrevProced (Dilat/DVIU = 1, no = 0)",,,Periop complication 0= no 1=yes,,,,,,,,,,,,,
# Previous Procedures (Dilatation/DVIU),,," Wound infection requiring treatment (no, yes)",,,,,,,,,,,,,
"Prior Endoscopic procedures (None=0, One-two=1, Three-Five=2, Greater than 5=3)",,,"Wound closure 0=chromic, 1=monocryl, 2=vicryl",,,,,,,,,,,,,
"Prev Open Reconstruction/Urethroplasty (no = 0, yes =1)",,,Periop complication,,,,,,,,,,,,,
,,,"Complication Type 0=minor wound, 1=minor foley/AUR , 2=surgical require intervention 3= minor medical 4=major medical",,,,,,,,,,,,,
,,,Early Complication,,,,,,,,,,,,,
,,,ER visits,,,,,,,,,,,,,
,,,Foley Catheter Complication (yes/no),,,,,,,,,,,,,
,,,"If yes, describe",,,,,,,,,,,,,
,,,SP complication,,,,,,,,,,,,,
,,,"ED 0=no, 1=yes no change fr preop, 2=ED worse postop 3=ejac dys",,,,,,,,,,,,,
,,,Erectile dysfunction (change or new at 5-6mos and/or 12mos),,,,,,,,,,,,,
,,,UTI Early Postop,,,,,,,,,,,,,
,,,"Pain (0 = no, 1 = yes)",,,,,,,,,,,,,
,,,Scrotal/wound pain at 5-6mos,,,,,,,,,,,,,
,,,"Chordee (0 = no, 1 = yes)",,,,,,,,,,,,,
,,,Chordee at 5-6mos (yes/no),,,,,,,,,,,,,
,,,"PVD (0 = no, 1 = yes)",,,,,,,,,,,,,
,,,Post-void dribbling at 5-6mos (yes/no),,,,,,,,,,,,,
,,,"Donor site Morbidity (0 = no, 1 = yes)",,,,,,,,,,,,,
,,,Donor site morbidity at 5-6mos (yes/no),,,,,,,,,,,,,
,,,"UTI (0 = no, 1 = yes)",,,,,,,,,,,,,
,,,UTI - 5-6mos (>1 occurring  yes/no),,,,,,,,,,,,,
,,,"LUTS other than PVD (0 = no, 1 = yes)",,,,,,,,,,,,,
,,,Persisting LUTS at 6mos other than PVD (yes/no),,,,,,,,,,,,,
,,,"Incontinence (0 = no, 1 = yes)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
